#;application/x-mathcad
%;application/x-trash
123;application/vnd.lotus-1-2-3
323;text/x-h323
3dm;x-world/x-3dmf
3dmf;x-world/x-3dmf
3dml;text/vnd.in3d.3dml
3ds;image/x-3ds
3g2;video/3gpp2
3ga;video/3gpp
3gp;video/3gpp
3gp2;video/3gpp2
3gpp;video/3gpp
3gpp2;video/3gpp2
602;application/x-t602
669;audio/x-mod
7z;application/x-7z-compressed
BLEND;application/x-blender
C;text/x-c++src
CRASHED;application/x-abiword
PAR2;application/x-par2
PL;application/x-perl
Z;application/x-compress,application/x-font-pcf,application/x-tarz
a;application/x-archive,application/octet-stream
aab;application/x-authorware-bin
aac;audio/x-aac
aam;application/x-authorware-map
aas;application/x-authorware-seg
abc;text/vnd.abc
abw;application/x-abiword
ac;application/pkix-attr-cert
ac3;audio/ac3
acc;application/vnd.americandynamics.acc
ace;application/x-ace-compressed,application/x-ace
acgi;text/html
acu;application/vnd.acucobol
acutc;application/vnd.acucorp
adb;text/x-adasrc
adp;audio/x-adpcm
ads;text/x-adasrc
aep;application/vnd.audiograph
afl;video/x-animaflex
afm;application/x-font-type1,application/x-font-afm
afp;application/vnd.ibm.modcap
ag;image/x-applix-graphics
ahead;application/vnd.ahead.space
ai;application/postscript,application/x-illustrator
aif;audio/x-aiff
aifc;audio/x-aiff,audio/x-aifc
aiff;audio/x-aiff
aiffc;audio/x-aifc
aim;application/x-aim
aip;text/x-audiosoft-intra
air;application/vnd.adobe.air-application-installer-package+zip
ait;application/vnd.dvb.ait
al;application/x-perl
alc;x-chemical/x-alchemy
alz;application/x-alz
ami;application/vnd.amiga.amu,application/vnd.amiga.ami
amr;audio/amr
amz;audio/x-amzxml
ani;application/x-navi-animation,application/octet-stream
anx;application/x-annodex
aos;application/x-nokia-9000-communicator-add-on-software
ape;audio/x-ape
apk;application/vnd.android.package-archive
appcache;text/x-cache-manifest
application;application/x-ms-application
apr;application/vnd.lotus-approach
aps;application/x-mime
ar;application/x-archive
arc;application/x-freearc,application/octet-stream
arj;application/x-arj,application/octet-stream
art;image/x-jg
arw;image/x-sony-arw
as;application/x-applix-spreadsheet
asc;application/pgp-signature,application/pgp-encrypted,application/pgp-keys,text/plain
asf;application/vnd.ms-asf,video/x-ms-asf
asm;text/x-asm
asn;x-chemical/x-ncbi-asn1,x-chemical/x-ncbi-asn1-spec
aso;x-chemical/x-ncbi-asn1-binary,application/vnd.accpac.simply.aso
asp;text/x-asp,application/x-asp
ass;text/x-ssa
asx;video/x-ms-asf,application/x-mplayer2,video/x-ms-asf-plugin,audio/x-ms-asx
atc;application/vnd.acucorp
atom;application/atom+xml
atomcat;application/atomcat+xml
atomsrv;application/x-atomserv+xml
atomsvc;application/atomsvc+xml
atx;application/vnd.antix.game-component
au;audio/basic,audio/x-au
avf;video/x-msvideo
avi;video/x-msvideo,application/x-troff-msvideo,video/x-avi
avs;video/x-avs-video
aw;application/x-applixware,application/x-applix-word
awb;audio/amr-wb
awk;application/x-awk
axa;audio/x-annodex
axv;video/x-annodex
azf;application/vnd.airzip.filesecure.azf
azs;application/vnd.airzip.filesecure.azs
azw;application/vnd.amazon.ebook
b;x-chemical/x-molconn-z
bak;application/x-trash
bat;application/x-msdos-program,application/x-msdownload
bck;application/x-vmsbackup
bcpio;application/x-bcpio
bdf;application/x-font-bdf
bdm;application/vnd.syncml.dm+wbxml,video/mp2t
bdmv;video/mp2t
